groupe_sanguin;sexe;id_client;usage_vehicule;type_vehicule;date_demande;etat_dossier;formule;Presence_enfant;Tranche_revenus;Index_Personaliser;Tranche_Age_vehicule;Type_conduite_new;Typologie_employeur;Tranche_Age;Points_perdus_new;Enfant_conduite_accompagne_new;Tranche_Resid_Princ;Code_dept;Intervalle_Tarifs_Devis;Niveau_Instruction
AB+;M;976068152;Private;z_SUV;02/01/2022;complet;dev_integral;Non;"[60K€; 80K€[";C22-179;De 10 à 14 ans;Urban;Type S.A.R.L;40 à 59 ans;Non;Non;Locataire;90;"[300€; 325€[";Licence/Bac+3
O-;F;786289554;Private;z_SUV;24/02/2022;complet;dev_express;Non;"[80K€; 100K€[";C22-183;De 15 à 19 ans;Urban;Type S.A.S;60 à 79 ans;Oui;Non;"[250k€; 300k€[";23;"[250€; 275€[";Master/Bac+5
A+;M;16380140;Private;z_SUV;05/04/2022;complet;dev_express;Oui;"[0; 20K€[";C22-187;De 0 à 4 ans;Urban;Type S.A;60 à 79 ans;Oui;Non;"[50k€; 100k€[";92;"[275€; 300€[";Avant Lycée
AB-;F;443540965;Commercial;Panel Truck;21/02/2022;complet;dev_integral;Non;"[120K€; Et plus [";C22-191;De 10 à 14 ans;Urban;Type S.A.R.L;40 à 59 ans;Oui;Non;"[350k€; et plus[";25;"[300€; 325€[";Master/Bac+5
AB-;M;380033719;Commercial;Van;21/03/2022;complet;dev_integral;Non;"[80K€; 100K€[";C22-195;De 5 à 9 ans;Urban;Type S.A;60 à 79 ans;Non;Non;Locataire;27;"[275€; 300€[";Licence/Bac+3
B+;F;490636474;Private;Van;03/04/2022;complet;dev_integral;Oui;"[40K€; 60K€[";C22-199;De 0 à 4 ans;Rural;Sans précision;20 à 39 ans;Oui;Oui;"[150k€; 200k€[";56;"[275€; 300€[";Avant Lycée
O+;F;220536762;Commercial;Pickup;28/03/2022;complet;dev_integral;Non;"[20K€; 40K€[";C22-203;De 0 à 4 ans;Urban;Sans précision;20 à 39 ans;Oui;Non;"[100k€; 150k€[ ";53;"[300€; 325€[";Avant Lycée
O+;F;466727453;Private;Minivan;21/03/2022;complet;dev_express;Oui;"[40K€; 60K€[";C22-207;De 5 à 9 ans;Urban;Type S.A.S;40 à 59 ans;Oui;Non;"[150k€; 200k€[";49;"[250€; 275€[";Avant Lycée
AB-;M;670054779;Private;Minivan;23/05/2022;complet;dev_express;Non;"[100K€; 120K€[";C22-211;De 5 à 9 ans;Urban;Type S.A.R.L;Moins de 20 ans;Non;Non;"[250k€; 300k€[";66;"[275€; 300€[";Licence/Bac+3
O+;F;303541974;Private;Sports Car;03/05/2022;complet;dev_express;Non;"[40K€; 60K€[";C22-215;De 15 à 19 ans;Urban;Sans précision;40 à 59 ans;Non;Non;Locataire;11;"[275€; 300€[";Master/Bac+5
O+;F;522831508;Commercial;Minivan;11/04/2022;complet;dev_express;Non;"[60K€; 80K€[";C22-219;De 5 à 9 ans;Rural;Sans précision;Moins de 20 ans;Oui;Non;"[200k€; 250k€[";61;"[250€; 275€[";Licence/Bac+3
O+;M;185382071;Private;Van;05/01/2022;complet;dev_premium;Non;"[60K€; 80K€[";C22-223;De 10 à 14 ans;Urban;Sans précision;40 à 59 ans;Non;Non;[300k€ à 350k€[;07;"[350€; et plus[";Doctorat/Bac+8
AB+;F;296809989;Commercial;Van;14/05/2022;complet;dev_integral;Oui;"[40K€; 60K€[";C22-227;De 5 à 9 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;"[150k€; 200k€[";42;"[275€; 300€[";Master/Bac+5
AB-;M;176300530;Private;z_SUV;20/04/2022;complet;dev_express;Non;"[60K€; 80K€[";C22-231;De 10 à 14 ans;Urban;Sans précision;20 à 39 ans;Oui;Non;"[250k€; 300k€[";75;"[250€; 275€[";Licence/Bac+3
A-;F;105813423;Private;Van;22/01/2022;complet;dev_express;Oui;"[20K€; 40K€[";C22-235;De 0 à 4 ans;Urban;Type S.A;60 à 79 ans;Non;Oui;Sans précision;42;"[250€; 275€[";Lycée ou après
AB+;F;305504579;Private;Sports Car;26/04/2022;complet;dev_express;Oui;"[20K€; 40K€[";C22-239;De 5 à 9 ans;Urban;Sans précision;20 à 39 ans;Oui;Oui;Locataire;81;"[250€; 275€[";Lycée ou après
B+;F;726219892;Private;Minivan;23/03/2022;complet;dev_integral;Non;"[80K€; 100K€[";C22-243;De 15 à 19 ans;Urban;Sans précision;60 à 79 ans;Non;Non;"[250k€; 300k€[";54;"[275€; 300€[";Master/Bac+5
B-;F;790543950;Private;Pickup;27/04/2022;complet;dev_express;Non;"[40K€; 60K€[";C22-247;De 5 à 9 ans;Urban;Type S.A.S;40 à 59 ans;Non;Non;"[150k€; 200k€[";62;"[250€; 275€[";Licence/Bac+3
A-;F;317314544;Commercial;Van;24/05/2022;complet;dev_integral;Oui;"[60K€; 80K€[";C22-251;De 5 à 9 ans;Urban;Type S.A.R.L;60 à 79 ans;Non;Non;"[200k€; 250k€[";63;"[275€; 300€[";Licence/Bac+3
O-;F;992004739;Private;Sports Car;09/05/2022;complet;dev_express;Oui;"[20K€; 40K€[";C22-255;De 0 à 4 ans;Urban;Type S.A;80 ans à plus;Non;Non;Locataire;46;"[250€; 275€[";Avant Lycée
B+;F;845009116;Private;z_SUV;22/04/2022;complet;dev_integral;Non;"[0; 20K€[";C22-259;De 5 à 9 ans;Urban;Sans précision;Moins de 20 ans;Non;Non;"[100k€; 150k€[ ";50;"[275€; 300€[";Licence/Bac+3
B-;M;143078256;Private;z_SUV;17/05/2022;complet;dev_express;Non;"[60K€; 80K€[";C22-263;De 0 à 4 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;"[200k€; 250k€[";33;"[250€; 275€[";Lycée ou après
B-;M;437006760;Private;Pickup;01/05/2022;complet;dev_express;Non;"[80K€; 100K€[";C22-267;De 5 à 9 ans;Urban;Type S.A;60 à 79 ans;Non;Non;"[200k€; 250k€[";56;"[250€; 275€[";Licence/Bac+3
A-;M;788829442;Private;Minivan;29/05/2022;complet;dev_express;Non;"[0; 20K€[";C22-271;De 5 à 9 ans;Rural;Type S.A;40 à 59 ans;Oui;Non;Locataire;93;"[250€; 275€[";Avant Lycée
A-;M;665180201;Private;z_SUV;04/04/2022;complet;dev_express;Oui;"[20K€; 40K€[";C22-275;De 10 à 14 ans;Urban;Type S.A;60 à 79 ans;Oui;Non;"[50k€; 100k€[";23;"[250€; 275€[";Licence/Bac+3
B-;F;554270628;Commercial;Pickup;27/01/2022;complet;dev_integral;Non;"[80K€; 100K€[";C22-279;De 0 à 4 ans;Urban;Type S.A;20 à 39 ans;Oui;Non;Locataire;58;"[300€; 325€[";Licence/Bac+3
B+;F;323105809;Private;z_SUV;13/01/2022;complet;dev_integral;Non;"[60K€; 80K€[";C22-283;De 5 à 9 ans;Urban;Sans précision;Moins de 20 ans;Non;Non;Locataire;43;"[300€; 325€[";Licence/Bac+3
AB+;M;316861921;Private;z_SUV;08/01/2022;complet;dev_express;Non;"[120K€; Et plus [";C22-287;De 10 à 14 ans;Urban;Type S.A.R.L;20 à 39 ans;Oui;Non;"[350k€; et plus[";82;"[250€; 275€[";Doctorat/Bac+8
A-;M;279632339;Private;Minivan;05/04/2022;complet;dev_integral;Non;"[80K€; 100K€[";C22-291;De 5 à 9 ans;Urban;Sans précision;Moins de 20 ans;Oui;Non;"[250k€; 300k€[";56;"[275€; 300€[";Licence/Bac+3
AB-;F;954212606;Private;Minivan;14/02/2022;complet;dev_premium;Oui;"[60K€; 80K€[";C22-295;De 5 à 9 ans;Rural;Sans précision;60 à 79 ans;Oui;Non;Sans précision;17;"[350€; et plus[";Lycée ou après
B+;M;1900527;Private;Pickup;14/01/2022;complet;dev_express;Non;"[40K€; 60K€[";C22-299;De 5 à 9 ans;Urban;Sans précision;60 à 79 ans;Non;Non;"[150k€; 200k€[";39;"[250€; 275€[";Licence/Bac+3
AB-;F;958601721;Private;z_SUV;20/04/2022;complet;dev_integral;Non;"[100K€; 120K€[";C22-303;De 15 à 19 ans;Urban;Type S.A;20 à 39 ans;Oui;Non;Locataire;20;"[300€; 325€[";Master/Bac+5
A-;F;827178489;Commercial;Minivan;10/05/2022;complet;dev_express;Non;"[60K€; 80K€[";C22-307;De 0 à 4 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;"[250k€; 300k€[";01;"[250€; 275€[";Lycée ou après
AB+;M;194669970;Commercial;Panel Truck;24/01/2022;complet;dev_premium;Non;"[40K€; 60K€[";C22-311;De 10 à 14 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;Locataire;47;"[350€; et plus[";Licence/Bac+3
B+;F;640048389;Private;Minivan;01/02/2022;complet;dev_express;Non;"[40K€; 60K€[";C22-315;De 5 à 9 ans;Urban;Type S.A;40 à 59 ans;Oui;Non;"[150k€; 200k€[";31;"[250€; 275€[";Avant Lycée
A+;M;606191446;Private;Minivan;20/04/2022;complet;dev_premium;Non;"[100K€; 120K€[";C22-319;De 0 à 4 ans;Urban;Type S.A.R.L;60 à 79 ans;Oui;Non;Locataire;48;"[350€; et plus[";Lycée ou après
AB-;M;664499270;Private;Sports Car;02/01/2022;complet;dev_express;Non;"[0; 20K€[";C22-323;De 0 à 4 ans;Rural;Type S.A.R.L;80 ans à plus;Non;Non;Locataire;90;"[250€; 275€[";Lycée ou après
A-;M;642975749;Commercial;Van;18/02/2022;complet;dev_express;Non;"[100K€; 120K€[";C22-327;De 5 à 9 ans;Rural;Type S.A;60 à 79 ans;Non;Non;Locataire;04;"[275€; 300€[";Lycée ou après
AB+;F;542062164;Commercial;z_SUV;27/04/2022;complet;dev_express;Oui;"[20K€; 40K€[";C22-331;De 0 à 4 ans;Urban;Type S.A.R.L;60 à 79 ans;Non;Non;Sans précision;01;"[250€; 275€[";Licence/Bac+3
A+;M;270119970;Private;Sports Car;09/05/2022;complet;dev_express;Non;"[0; 20K€[";C22-335;De 0 à 4 ans;Rural;Type S.A;60 à 79 ans;Oui;Non;Locataire;31;"[250€; 275€[";Avant Lycée
O+;M;752309500;Commercial;Pickup;14/01/2022;complet;dev_express;Non;"[40K€; 60K€[";C22-339;De 5 à 9 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;Sans précision;61;"[275€; 300€[";Lycée ou après
O-;M;296960793;Private;Minivan;30/03/2022;complet;dev_express;Non;"[40K€; 60K€[";C22-343;De 5 à 9 ans;Urban;Sans précision;40 à 59 ans;Non;Non;"[150k€; 200k€[";58;"[250€; 275€[";Lycée ou après
AB-;M;377628766;Private;Minivan;25/01/2022;complet;dev_premium;Non;"[0; 20K€[";C22-347;De 15 à 19 ans;Urban;Sans précision;40 à 59 ans;Non;Non;Locataire;09;"[350€; et plus[";Master/Bac+5
A-;F;109627178;Private;z_SUV;28/05/2022;complet;dev_express;Oui;"[20K€; 40K€[";C22-351;De 0 à 4 ans;Rural;Sans précision;20 à 39 ans;Non;Oui;Locataire;48;"[250€; 275€[";Lycée ou après
AB-;M;314006147;Private;Minivan;12/02/2022;complet;dev_premium;Non;"[40K€; 60K€[";C22-355;De 10 à 14 ans;Urban;Type S.A.R.L;40 à 59 ans;Non;Non;"[200k€; 250k€[";42;"[350€; et plus[";Master/Bac+5
A+;M;329152754;Private;Sports Car;11/01/2022;complet;dev_integral;Oui;"[40K€; 60K€[";C22-359;De 0 à 4 ans;Rural;Type S.A;40 à 59 ans;Non;Non;"[150k€; 200k€[";41;"[275€; 300€[";Master/Bac+5
AB+;M;251851062;Commercial;Minivan;15/04/2022;complet;dev_express;Non;"[40K€; 60K€[";C22-363;De 0 à 4 ans;Urban;Type S.A.S;60 à 79 ans;Oui;Non;"[150k€; 200k€[";67;"[250€; 275€[";Lycée ou après
AB+;F;938303236;Private;Minivan;28/03/2022;complet;dev_premium;Oui;"[20K€; 40K€[";C22-367;De 0 à 4 ans;Urban;Sans précision;Moins de 20 ans;Oui;Non;"[100k€; 150k€[ ";80;"[350€; et plus[";Avant Lycée
B-;F;134426064;Private;Sports Car;26/02/2022;complet;dev_premium;Non;"[80K€; 100K€[";C22-371;De 0 à 4 ans;Urban;Sans précision;Moins de 20 ans;Oui;Non;"[250k€; 300k€[";04;"[350€; et plus[";Lycée ou après
AB+;M;448101140;Private;Van;17/01/2022;complet;dev_express;Non;"[40K€; 60K€[";C22-375;De 0 à 4 ans;Urban;Type S.A;60 à 79 ans;Non;Non;Locataire;55;"[250€; 275€[";Lycée ou après
B+;F;809433095;Private;Pickup;16/04/2022;complet;dev_integral;Non;"[60K€; 80K€[";C22-379;De 10 à 14 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;"[150k€; 200k€[";84;"[275€; 300€[";Licence/Bac+3
AB-;F;943460621;Commercial;Pickup;12/01/2022;complet;dev_integral;Non;"[20K€; 40K€[";C22-383;De 5 à 9 ans;Rural;Sans précision;40 à 59 ans;Oui;Non;Sans précision;74;"[300€; 325€[";Lycée ou après
O-;M;426770568;Private;Minivan;23/03/2022;complet;dev_express;Non;"[20K€; 40K€[";C22-387;De 0 à 4 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;Locataire;45;"[250€; 275€[";Lycée ou après
B-;F;877092530;Private;Minivan;17/04/2022;complet;dev_integral;Oui;"[40K€; 60K€[";C22-391;De 5 à 9 ans;Urban;Type S.A.R.L;20 à 39 ans;Non;Oui;"[100k€; 150k€[ ";40;"[275€; 300€[";Avant Lycée
O-;M;300696853;Private;Van;05/05/2022;complet;dev_integral;Oui;"[60K€; 80K€[";C22-395;De 5 à 9 ans;Urban;Sans précision;40 à 59 ans;Oui;Non;"[200k€; 250k€[";12;"[325€; 350€[";Doctorat/Bac+8
A+;M;819681380;Commercial;z_SUV;28/02/2022;complet;dev_integral;Non;"[60K€; 80K€[";C22-399;De 0 à 4 ans;Urban;Type S.A.R.L;Moins de 20 ans;Non;Non;Locataire;49;"[325€; 350€[";Lycée ou après
O+;M;915517588;Commercial;Pickup;12/02/2022;complet;dev_integral;Oui;"[0; 20K€[";C22-403;De 10 à 14 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;"[50k€; 100k€[";64;"[300€; 325€[";Master/Bac+5
O-;F;131312301;Private;Minivan;07/01/2022;complet;dev_integral;Oui;"[40K€; 60K€[";C22-407;De 0 à 4 ans;Urban;Sans précision;20 à 39 ans;Non;Non;"[200k€; 250k€[";01;"[300€; 325€[";Lycée ou après
AB-;M;861285967;Private;Minivan;07/01/2022;complet;dev_integral;Non;"[120K€; Et plus [";C22-411;De 10 à 14 ans;Urban;Type S.A;40 à 59 ans;Oui;Non;Locataire;19;"[300€; 325€[";Licence/Bac+3
O-;M;918559086;Commercial;Panel Truck;12/01/2022;complet;dev_express;Non;"[120K€; Et plus [";C22-415;De 15 à 19 ans;Urban;Type S.A;Moins de 20 ans;Oui;Non;Locataire;12;"[275€; 300€[";Master/Bac+5
A+;M;64779757;Private;Minivan;24/05/2022;complet;dev_premium;Non;"[60K€; 80K€[";C22-419;De 10 à 14 ans;Urban;Sans précision;60 à 79 ans;Oui;Non;Locataire;05;"[350€; et plus[";Licence/Bac+3
B-;M;281256236;Commercial;Panel Truck;25/03/2022;complet;dev_integral;Oui;"[0; 20K€[";C22-423;De 10 à 14 ans;Urban;Sans précision;20 à 39 ans;Non;Non;"[350k€; et plus[";86;"[275€; 300€[";Doctorat/Bac+8
A-;F;528698470;Private;Minivan;02/01/2022;complet;dev_integral;Oui;"[0; 20K€[";C22-427;De 5 à 9 ans;Urban;Type S.A;60 à 79 ans;Non;Oui;"[100k€; 150k€[ ";37;"[325€; 350€[";Avant Lycée
B+;M;643171611;Commercial;Minivan;01/03/2022;complet;dev_integral;Oui;"[60K€; 80K€[";C22-431;De 10 à 14 ans;Rural;Sans précision;20 à 39 ans;Oui;Non;"[250k€; 300k€[";28;"[300€; 325€[";Licence/Bac+3
B-;F;430670098;Private;Minivan;28/01/2022;complet;dev_express;Oui;"[120K€; Et plus [";C22-435;De 10 à 14 ans;Urban;Type S.A;40 à 59 ans;Oui;Non;"[350k€; et plus[";48;"[250€; 275€[";Licence/Bac+3
O-;M;64308498;Private;z_SUV;29/04/2022;complet;dev_premium;Non;"[0; 20K€[";C22-439;De 5 à 9 ans;Urban;Sans précision;80 ans à plus;Non;Non;"[100k€; 150k€[ ";29;"[350€; et plus[";Lycée ou après
A+;M;937660052;Commercial;z_SUV;20/01/2022;complet;dev_integral;Non;"[60K€; 80K€[";C22-443;De 5 à 9 ans;Urban;Type S.A.R.L;40 à 59 ans;Non;Non;"[150k€; 200k€[";31;"[275€; 300€[";Licence/Bac+3
O-;M;994894155;Commercial;Minivan;06/05/2022;complet;dev_express;Oui;"[100K€; 120K€[";C22-447;De 10 à 14 ans;Urban;Sans précision;40 à 59 ans;Non;Oui;"[250k€; 300k€[";13;"[250€; 275€[";Licence/Bac+3
